,ds,yhat,yhat_lower,yhat_upper,y,current_date,fastest_growth_day,growth_stabilized,current_day,cap
31,2020-04-07,1605.5778802180992,1571.399292945316,1639.0245891424472,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
32,2020-04-08,1609.3301665404083,1577.322952595908,1643.0684860249614,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
33,2020-04-09,1652.1231423510185,1619.8914713492002,1684.6364211574105,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
34,2020-04-10,1698.008310287473,1665.933272847769,1730.3824745926572,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
35,2020-04-11,1746.6666693838474,1713.609818004021,1779.0519455319093,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
36,2020-04-12,1758.918386226695,1727.8783775512388,1790.2539678243845,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
37,2020-04-13,1765.8753312326587,1732.9739049665698,1799.926715874412,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
38,2020-04-14,1819.1956749654585,1786.2169215834085,1853.5878798824742,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
39,2020-04-15,1785.4031369962918,1752.3947474655554,1817.3861444980212,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
40,2020-04-16,1796.2181649368772,1763.74728515085,1829.7136562594853,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
41,2020-04-17,1815.2377760160007,1781.3421330570527,1851.1078377195117,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
42,2020-04-18,1841.576857594986,1810.8872042470482,1875.920010766451,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
43,2020-04-19,1835.4541207331283,1801.4248469013535,1870.2099464117814,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
44,2020-04-20,1827.3951437893277,1795.4828212055745,1858.3869898870494,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
45,2020-04-21,1868.5168434129878,1834.8167015724248,1902.346451986673,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
46,2020-04-22,1824.8615484454258,1791.2597665756161,1859.9683783934022,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
47,2020-04-23,1827.7328784416184,1795.217861071546,1862.9324504000188,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
48,2020-04-24,1840.3740175931505,1806.8053995868743,1874.238652066882,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
49,2020-04-25,1861.6039618455875,1830.0226855251724,1895.462613839291,,2020-04-05,24.782517682191163,True,30,1851.9349784770786
